City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB SITUBONDO,2584,336,2920,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA PROBOLINGGO,1667,523,2190,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MAGETAN,2489,650,3139,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANGKALAN,2900,449,3349,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANYUWANGI,5161,2612,7773,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SAMPANG,1821,170,1991,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA SURABAYA,33432,22224,55656,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MADIUN,2209,598,2807,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TUBAN,2884,412,3296,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SUMENEP,2868,771,3639,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PAMEKASAN,2309,738,3047,"February 14, 2021",https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TULUNGAGUNG,5320,3974,9294,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA BATU,1559,1315,2874,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB JEMBER,6638,5334,11972,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SIDOARJO,9315,6625,15940,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BOJONEGORO,4380,3358,7738,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB LAMONGAN,5339,4031,9370,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB JOMBANG,5155,3888,9043,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BLITAR,2895,2134,5029,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PONOROGO,3540,2564,6104,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGANJUK,3460,2481,5941,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BONDOWOSO,2680,1892,4572,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA SURABAYA,34316,27489,61805,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB GRESIK,6147,4054,10201,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGAWI,3336,2001,5337,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA KEDIRI,4377,2883,7260,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB LUMAJANG,3477,2375,5852,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MADIUN,3585,2354,5939,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA PASURUAN,1416,884,2300,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PROBOLINGGO,2944,1839,4783,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MOJOKERTO,2721,1544,4265,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MADIUN,2307,1570,3877,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MOJOKERTO,3760,2107,5867,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB KEDIRI,5515,3088,8603,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MAGETAN,2601,1531,4132,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB TRENGGALEK,3108,1775,4883,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PAMEKASAN,2787,1530,4317,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA PROBOLINGGO,1712,1006,2718,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MALANG,12322,5753,18075,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PASURUAN,4451,1997,6448,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BANYUWANGI,5252,3102,8354,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA BLITAR,2483,1269,3752,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BANGKALAN,3156,1474,4630,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MALANG,7757,3591,11348,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SUMENEP,3038,1464,4502,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB TUBAN,3127,1302,4429,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SITUBONDO,2801,935,3736,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SAMPANG,1912,616,2528,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PACITAN,2357,511,2868,"February 16, 2021",https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGANJUK,3460,3368,6828,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA BATU,1559,1493,3052,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TULUNGAGUNG,5320,4177,9497,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB LAMONGAN,5339,4532,9871,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB JEMBER,6639,5587,12226,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SIDOARJO,9328,7085,16413,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BOJONEGORO,4380,3549,7929,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MADIUN,3590,2962,6552,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB JOMBANG,5155,4032,9187,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PONOROGO,3540,2719,6259,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BLITAR,2895,2222,5117,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA KEDIRI,4378,3302,7680,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BONDOWOSO,2680,1977,4657,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA SURABAYA,34869,28356,63225,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MADIUN,2317,1850,4167,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB NGAWI,3354,2083,5437,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB GRESIK,6147,4168,10315,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PROBOLINGGO,2944,2032,4976,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MOJOKERTO,2707,1709,4416,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MOJOKERTO,3760,2484,6244,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB LUMAJANG,3479,2396,5875,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA PASURUAN,1416,936,2352,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA BLITAR,2505,1722,4227,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BANYUWANGI,5346,3948,9294,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MAGETAN,2623,1719,4342,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TRENGGALEK,3126,2007,5133,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB KEDIRI,5528,3267,8795,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TUBAN,3163,1917,5080,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MALANG,7757,4827,12584,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PAMEKASAN,2842,1642,4484,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA PROBOLINGGO,1740,1070,2810,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PASURUAN,4451,2237,6688,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MALANG,12322,6208,18530,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BANGKALAN,3160,1622,4782,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SUMENEP,3096,1580,4676,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SITUBONDO,2848,1011,3859,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SAMPANG,1939,709,2648,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PACITAN,2357,726,3083,"February 17, 2021",https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MOJOKERTO,3760,3708,7468,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA BATU,1561,1546,3107,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB NGANJUK,3460,3407,6867,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB JEMBER,6639,6527,13166,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TULUNGAGUNG,5320,4401,9721,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB GRESIK,6269,5693,11962,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB JOMBANG,5155,4951,10106,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SIDOARJO,9338,8117,17455,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA KEDIRI,4378,4072,8450,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MOJOKERTO,2709,2379,5088,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB LAMONGAN,5339,4869,10208,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB LUMAJANG,3492,3250,6742,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BONDOWOSO,2680,2396,5076,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MADIUN,3603,3261,6864,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BLITAR,2895,2530,5425,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BOJONEGORO,4280,3769,8049,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BANYUWANGI,5569,4909,10478,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PONOROGO,3540,2951,6491,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MADIUN,2425,2024,4449,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PROBOLINGGO,2960,2424,5384,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA SURABAYA,35567,30819,66386,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA BLITAR,2510,2068,4578,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB NGAWI,3386,2248,5634,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MALANG,7759,6183,13942,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TUBAN,3163,2425,5588,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MAGETAN,2669,2043,4712,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PASURUAN,4451,3102,7553,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA PASURUAN,1416,1051,2467,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TRENGGALEK,3204,2331,5535,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MALANG,12322,8631,20953,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA PROBOLINGGO,1792,1248,3040,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB KEDIRI,5530,3711,9241,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SITUBONDO,2892,1648,4540,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BANGKALAN,3160,2000,5160,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PAMEKASAN,2842,1786,4628,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SUMENEP,3170,1996,5166,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SAMPANG,1952,1112,3064,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PACITAN,2358,1112,3470,"February 20, 2021",https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA SURABAYA,35628,30819,66447,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA BLITAR,2510,2068,4578,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB NGAWI,3386,2248,5634,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MALANG,7759,6183,13942,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB TUBAN,3163,2425,5588,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MAGETAN,2669,2043,4712,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PASURUAN,4451,3102,7553,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA PASURUAN,1416,1051,2467,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB TRENGGALEK,3204,2331,5535,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA MALANG,12322,8631,20953,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA PROBOLINGGO,1792,1248,3040,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB KEDIRI,5530,3711,9241,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SITUBONDO,2892,1648,4540,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB BANGKALAN,3160,2000,5160,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PAMEKASAN,2842,1786,4628,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SUMENEP,3181,2056,5237,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SAMPANG,1957,1113,3070,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PACITAN,2358,1112,3470,"February 21, 2021",https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MOJOKERTO,3760,3717,7477,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA BATU,1561,1546,3107,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB JEMBER,6639,6542,13181,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB NGANJUK,3460,3407,6867,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TULUNGAGUNG,5320,4404,9724,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB JOMBANG,5155,5001,10156,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB GRESIK,6267,5717,11984,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SIDOARJO,9366,8240,17606,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA KEDIRI,4378,4139,8517,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PONOROGO,3540,3331,6871,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MOJOKERTO,2724,2392,5116,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB LAMONGAN,5339,4983,10322,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PROBOLINGGO,2960,2751,5711,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BONDOWOSO,2680,2473,5153,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA PASURUAN,1416,1299,2715,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB LUMAJANG,3518,3248,6766,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MADIUN,3605,3340,6945,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BLITAR,2895,2603,5498,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BANYUWANGI,5595,4967,10562,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BOJONEGORO,4380,3814,8194,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MADIUN,2425,2051,4476,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA BLITAR,2516,2190,4706,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PASURUAN,4451,3514,7965,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB NGAWI,3391,2417,5808,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA SURABAYA,35715,30920,66635,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MAGETAN,2678,2160,4838,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MALANG,7773,6376,14149,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TUBAN ,3168,2444,5612,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TRENGGALEK,3205,2372,5577,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MALANG,12322,8811,21133,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB KEDIRI,5538,4072,9610,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA PROBOLINGGO,1807,1297,3104,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SUMENEP,3196,2300,5496,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SITUBONDO,2905,1723,4628,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BANGKALAN,3160,2093,5253,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PAMEKASAN,2842,1827,4669,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SAMPANG,1958,1243,3201,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PACITAN,2358,1398,3756,"February 22, 2021",https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BOJONEGORO,4380,3814,8194,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB NGAWI,3391,2545,5936,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MADIUN,2426,2065,4491,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA BLITAR,2519,2204,4723,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MAGETAN,2678,2269,4947,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA PROBOLINGGO,1810,1479,3289,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA SURABAYA,35812,31061,66873,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MALANG,7798,6574,14372,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB TUBAN,3170,2475,5645,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB SUMENEP,3231,2472,5703,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB SITUBONDO,2908,1941,4849,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB KEDIRI,5538,4145,9683,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB TRENGGALEK,3205,2377,5582,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA MALANG,12322,8811,21133,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB BANGKALAN,3160,2297,5457,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB PACITAN,2358,1626,3984,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB SAMPANG,1959,1381,3340,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB PAMEKASAN,2842,1862,4704,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MOJOKERTO,3760,3717,7477,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA BATU,1561,1552,3113,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB JEMBER,6639,6565,13204,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB NGANJUK,3460,3407,6867,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB JOMBANG,5155,5056,10211,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB GRESIK,6267,5761,12028,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB TULUNGAGUNG,5320,4407,9727,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA MOJOKERTO,2727,2463,5190,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB SIDOARJO,9366,8275,17641,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA KEDIRI,4378,4209,8587,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB PONOROGO,3540,3382,6922,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA MADIUN,3605,3486,7091,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB LAMONGAN,5339,5054,10393,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB PROBOLINGGO,2960,2782,5742,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB BONDOWOSO,2680,2484,5164,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB LUMAJANG,3515,3286,6801,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB BLITAR,2896,2669,5565,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA PASURUAN,1417,1301,2718,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB PASURUAN,4451,3845,8296,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB BANYUWANGI,5595,4970,10565,"February 23, 2021",https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MOJOKERTO,3760,3717,7477,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KOTA BATU,1561,1552,3113,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB JEMBER,6639,6566,13205,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB NGANJUK,3460,3407,6867,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB TULUNGAGUNG,5338,4462,9800,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB GRESIK,6267,5813,12080,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB JOMBANG,5155,5056,10211,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB SIDOARJO,9370,8330,17700,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB PONOROGO,3545,3423,6968,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KOTA KEDIRI,4380,4216,8596,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB BONDOWOSO,2680,2580,5260,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KOTA MADIUN,3605,3536,7141,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB LAMONGAN,5339,5067,10406,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB PROBOLINGGO,2960,2790,5750,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KOTA MOJOKERTO,2706,2405,5111,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
KAB PASURUAN,4451,3931,8382,"February 24, 2021",https://twitter.com/KominfoJatim/status/1364607070016655361/photo/,
